Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
2003,Member States,SI,Slovenia,t CO2 equivalent,2723.41243,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,SI,Slovenia,t CO2 equivalent,2674.968127,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,SI,Slovenia,t CO2 equivalent,2459.331322,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,SI,Slovenia,t CO2 equivalent,2202.376151,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,SI,Slovenia,t CO2 equivalent,1785.574116,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,SI,Slovenia,t CO2 equivalent,2134.919784,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,SI,Slovenia,t CO2 equivalent,2055.487556,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,SI,Slovenia,t CO2 equivalent,2075.880485,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,SI,Slovenia,t CO2 equivalent,1824.414277,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,SI,Slovenia,t CO2 equivalent,1563.309888,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,SI,Slovenia,t CO2 equivalent,1485.556916,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,SI,Slovenia,t CO2 equivalent,1174.597021,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,SI,Slovenia,t CO2 equivalent,1292.971819,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,SI,Slovenia,t CO2 equivalent,1363.805987,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,SI,Slovenia,t CO2 equivalent,1231.714786,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,SI,Slovenia,t CO2 equivalent,1127.372395,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,SI,Slovenia,t CO2 equivalent,1116.43919,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,SI,Slovenia,t CO2 equivalent,1122.110568,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,SI,Slovenia,t CO2 equivalent,1020.657075,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,SE,Sweden,t CO2 equivalent,9261.47077,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,SE,Sweden,t CO2 equivalent,9172.496071,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,SE,Sweden,t CO2 equivalent,8510.195668,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,SE,Sweden,t CO2 equivalent,8355.114986,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,SE,Sweden,t CO2 equivalent,8381.473493,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,SE,Sweden,t CO2 equivalent,7988.083075,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,SE,Sweden,t CO2 equivalent,7976.143797,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,SE,Sweden,t CO2 equivalent,7218.764863,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,SE,Sweden,t CO2 equivalent,7116.655222,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,SE,Sweden,t CO2 equivalent,6675.479155,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,SE,Sweden,t CO2 equivalent,6561.375928,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,SE,Sweden,t CO2 equivalent,5737.716882,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,SE,Sweden,t CO2 equivalent,5195.930626,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,SE,Sweden,t CO2 equivalent,4868.375217,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,SE,Sweden,t CO2 equivalent,4577.335259,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,SE,Sweden,t CO2 equivalent,3544.199866,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,SE,Sweden,t CO2 equivalent,2939.066003,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,SE,Sweden,t CO2 equivalent,2690.958487,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,SE,Sweden,t CO2 equivalent,2198.383387,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,SE,Sweden,t CO2 equivalent,2017.544615,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,SE,Sweden,t CO2 equivalent,2128.602355,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,SE,Sweden,t CO2 equivalent,1792.522242,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,SE,Sweden,t CO2 equivalent,1617.809719,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,SE,Sweden,t CO2 equivalent,1489.409136,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,SE,Sweden,t CO2 equivalent,1437.135656,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,SE,Sweden,t CO2 equivalent,1375.785824,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,SE,Sweden,t CO2 equivalent,1291.409389,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,SE,Sweden,t CO2 equivalent,1245.306269,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,SE,Sweden,t CO2 equivalent,1212.823468,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,SE,Sweden,t CO2 equivalent,1221.439086,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,SE,Sweden,t CO2 equivalent,1222.197903,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,SE,Sweden,t CO2 equivalent,1279.125387,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,RO,Romania,t CO2 equivalent,9378.632519,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,RO,Romania,t CO2 equivalent,9228.964468,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,RO,Romania,t CO2 equivalent,7414.96551,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,RO,Romania,t CO2 equivalent,6564.104696,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,RO,Romania,t CO2 equivalent,5739.390134,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,RO,Romania,t CO2 equivalent,6485.883548,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,RO,Romania,t CO2 equivalent,6882.223644,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,RO,Romania,t CO2 equivalent,8576.558145,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,RO,Romania,t CO2 equivalent,8984.463276,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,RO,Romania,t CO2 equivalent,8113.84653,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,RO,Romania,t CO2 equivalent,8431.126441,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,RO,Romania,t CO2 equivalent,7966.235235,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,RO,Romania,t CO2 equivalent,8028.709171,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,RO,Romania,t CO2 equivalent,9734.190788,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,RO,Romania,t CO2 equivalent,10503.47656,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,RO,Romania,t CO2 equivalent,10877.26777,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,RO,Romania,t CO2 equivalent,12446.28108,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,RO,Romania,t CO2 equivalent,10694.04389,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,RO,Romania,t CO2 equivalent,9662.749203,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,RO,Romania,t CO2 equivalent,9586.881866,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,RO,Romania,t CO2 equivalent,9600.613032,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,RO,Romania,t CO2 equivalent,9472.732201,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,RO,Romania,t CO2 equivalent,9881.327221,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,RO,Romania,t CO2 equivalent,9635.047371,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,RO,Romania,t CO2 equivalent,9239.094588,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,RO,Romania,t CO2 equivalent,9376.887672,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,RO,Romania,t CO2 equivalent,9507.063568,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,RO,Romania,t CO2 equivalent,9944.1423,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,RO,Romania,t CO2 equivalent,10251.824,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,RO,Romania,t CO2 equivalent,10323.99917,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,RO,Romania,t CO2 equivalent,10558.3795,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,RO,Romania,t CO2 equivalent,11706.79673,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,PT,Portugal,t CO2 equivalent,2978.708724,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,PT,Portugal,t CO2 equivalent,3112.204186,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,PT,Portugal,t CO2 equivalent,3300.621546,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,PT,Portugal,t CO2 equivalent,3421.784062,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,PT,Portugal,t CO2 equivalent,3566.428019,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,PT,Portugal,t CO2 equivalent,3526.792243,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,PT,Portugal,t CO2 equivalent,3738.228963,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,PT,Portugal,t CO2 equivalent,3912.319197,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,PT,Portugal,t CO2 equivalent,4443.87283,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,PT,Portugal,t CO2 equivalent,4854.201669,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,PT,Portugal,t CO2 equivalent,4993.661875,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,PT,Portugal,t CO2 equivalent,5231.211673,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,PT,Portugal,t CO2 equivalent,5501.787151,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,PT,Portugal,t CO2 equivalent,5598.593395,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,PT,Portugal,t CO2 equivalent,5905.907409,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,PT,Portugal,t CO2 equivalent,5820.979127,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,PT,Portugal,t CO2 equivalent,4741.496674,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,PT,Portugal,t CO2 equivalent,4699.93994,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,PT,Portugal,t CO2 equivalent,4417.320692,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,PT,Portugal,t CO2 equivalent,4305.436057,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,PT,Portugal,t CO2 equivalent,4197.296022,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,PT,Portugal,t CO2 equivalent,3652.642284,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,PT,Portugal,t CO2 equivalent,3484.294209,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,PT,Portugal,t CO2 equivalent,3390.343217,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,PT,Portugal,t CO2 equivalent,3331.54351,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,PT,Portugal,t CO2 equivalent,3289.522513,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,PT,Portugal,t CO2 equivalent,3244.853048,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,PT,Portugal,t CO2 equivalent,3217.995011,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,PT,Portugal,t CO2 equivalent,3331.520788,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,PT,Portugal,t CO2 equivalent,3279.258343,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,PT,Portugal,t CO2 equivalent,3198.50955,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,PT,Portugal,t CO2 equivalent,3044.056363,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,PL,Poland,t CO2 equivalent,47936.55229,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,PL,Poland,t CO2 equivalent,56590.92764,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,PL,Poland,t CO2 equivalent,58325.74917,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,PL,Poland,t CO2 equivalent,61309.6611,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,PL,Poland,t CO2 equivalent,53075.36135,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,PL,Poland,t CO2 equivalent,53145.29171,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,PL,Poland,t CO2 equivalent,53905.52026,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,PL,Poland,t CO2 equivalent,49922.75038,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,PL,Poland,t CO2 equivalent,40301.01576,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,PL,Poland,t CO2 equivalent,41584.73474,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,PL,Poland,t CO2 equivalent,34895.61407,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,PL,Poland,t CO2 equivalent,38144.7301,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,PL,Poland,t CO2 equivalent,42111.46045,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,PL,Poland,t CO2 equivalent,42487.72517,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,PL,Poland,t CO2 equivalent,43042.09918,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,PL,Poland,t CO2 equivalent,45417.2693,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,PL,Poland,t CO2 equivalent,50122.94594,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,PL,Poland,t CO2 equivalent,46260.15427,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,PL,Poland,t CO2 equivalent,48444.32691,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,PL,Poland,t CO2 equivalent,49698.83844,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,PL,Poland,t CO2 equivalent,55862.66022,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,PL,Poland,t CO2 equivalent,49582.84385,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,PL,Poland,t CO2 equivalent,51155.37512,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,PL,Poland,t CO2 equivalent,49369.42071,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,PL,Poland,t CO2 equivalent,45061.99824,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,PL,Poland,t CO2 equivalent,44763.00082,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,PL,Poland,t CO2 equivalent,47768.15185,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,PL,Poland,t CO2 equivalent,46874.19711,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,PL,Poland,t CO2 equivalent,45871.88113,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,PL,Poland,t CO2 equivalent,40259.42513,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,PL,Poland,t CO2 equivalent,41014.07856,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,PL,Poland,t CO2 equivalent,42984.36916,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,NL,Netherlands,t CO2 equivalent,29729.63588,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,NL,Netherlands,t CO2 equivalent,34009.41891,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,NL,Netherlands,t CO2 equivalent,31354.67138,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,NL,Netherlands,t CO2 equivalent,33206.58533,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,NL,Netherlands,t CO2 equivalent,31068.17344,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,NL,Netherlands,t CO2 equivalent,33167.60197,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,NL,Netherlands,t CO2 equivalent,38620.37946,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,NL,Netherlands,t CO2 equivalent,32893.54849,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,NL,Netherlands,t CO2 equivalent,31471.90678,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,NL,Netherlands,t CO2 equivalent,29874.92326,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,NL,Netherlands,t CO2 equivalent,29847.15912,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,NL,Netherlands,t CO2 equivalent,31668.09847,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,NL,Netherlands,t CO2 equivalent,30485.86191,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,NL,Netherlands,t CO2 equivalent,31627.96096,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,NL,Netherlands,t CO2 equivalent,31346.27044,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,NL,Netherlands,t CO2 equivalent,29583.76166,All greenhouse gases - (CO2 equivalent),Residential and Commercial
