Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
2001,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2005,Member States,SI,Slovenia,t CO2 equivalent,68.75088,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,SI,Slovenia,t CO2 equivalent,94.19183064,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,SI,Slovenia,t CO2 equivalent,158.56296708,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,SI,Slovenia,t CO2 equivalent,213.841509108,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,SI,Slovenia,t CO2 equivalent,105.198729652,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,SI,Slovenia,t CO2 equivalent,60.015676316,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,SI,Slovenia,t CO2 equivalent,105.80760432,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,SI,Slovenia,t CO2 equivalent,163.729989405,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,SI,Slovenia,t CO2 equivalent,201.99633552,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2014,Member States,SI,Slovenia,t CO2 equivalent,186.166495107,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2015,Member States,SI,Slovenia,t CO2 equivalent,208.4089176,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2016,Member States,SI,Slovenia,t CO2 equivalent,400.154740665,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2017,Member States,SI,Slovenia,t CO2 equivalent,504.365612047,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2018,Member States,SI,Slovenia,t CO2 equivalent,733.929636478,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2019,Member States,SI,Slovenia,t CO2 equivalent,618.978357405,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2020,Member States,SI,Slovenia,t CO2 equivalent,381.902172099,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2021,Member States,SI,Slovenia,t CO2 equivalent,282.849824651,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1990,Member States,SE,Sweden,t CO2 equivalent,2367.098400930,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1991,Member States,SE,Sweden,t CO2 equivalent,2646.083707543,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,SE,Sweden,t CO2 equivalent,2985.940367486,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,SE,Sweden,t CO2 equivalent,2901.017322449,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,SE,Sweden,t CO2 equivalent,3416.509632357,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,SE,Sweden,t CO2 equivalent,3407.043209414,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,SE,Sweden,t CO2 equivalent,3595.722510110,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,SE,Sweden,t CO2 equivalent,4325.626306557,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,SE,Sweden,t CO2 equivalent,5087.128496828,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,SE,Sweden,t CO2 equivalent,5039.548929751,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2000,Member States,SE,Sweden,t CO2 equivalent,4893.229631389,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2001,Member States,SE,Sweden,t CO2 equivalent,4782.435685308,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,SE,Sweden,t CO2 equivalent,4203.289083756,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,SE,Sweden,t CO2 equivalent,5691.038463623,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,SE,Sweden,t CO2 equivalent,6605.899308341,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
