Year,Country code,Country,Tonnes CO2,Gas,Sector Name
1990,SK,Slovakia,6068.303962,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,SK,Slovakia,5251.429558,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,SK,Slovakia,4135.10039,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,SK,Slovakia,3684.888347,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,SK,Slovakia,3532.140848,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,SK,Slovakia,3585.504338,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,SK,Slovakia,3470.780219,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,SK,Slovakia,3402.269137,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,SK,Slovakia,3058.552864,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,SK,Slovakia,2882.887008,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,SK,Slovakia,2855.301407,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,SK,Slovakia,3009.145569,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,SK,Slovakia,3013.02167,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,SK,Slovakia,2737.947337,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,SK,Slovakia,2714.412696,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,SK,Slovakia,2720.875483,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,SK,Slovakia,2530.990897,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,SK,Slovakia,2601.652997,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,SK,Slovakia,2719.483005,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,SK,Slovakia,2467.935026,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,SK,Slovakia,2581.751533,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,SK,Slovakia,2514.024174,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,SK,Slovakia,2429.129418,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,SK,Slovakia,2565.196324,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,SK,Slovakia,2698.256581,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,SK,Slovakia,2516.868444,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,SK,Slovakia,2636.219519,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,SK,Slovakia,2492.062341,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,SK,Slovakia,2512.481391,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,SK,Slovakia,2529.014955,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,SK,Slovakia,2531.75278,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,SK,Slovakia,2430.56954,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,SI,Slovenia,1951.301788,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,SI,Slovenia,1832.540168,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,SI,Slovenia,1947.358841,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,SI,Slovenia,1838.742499,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,SI,Slovenia,1855.137139,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,SI,Slovenia,1855.023755,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,SI,Slovenia,1793.791375,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,SI,Slovenia,1743.341408,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,SI,Slovenia,1783.309638,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,SI,Slovenia,1799.00755,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,SI,Slovenia,1892.158924,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,SI,Slovenia,1867.710264,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,SI,Slovenia,1928.00191,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,SI,Slovenia,1832.830217,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,SI,Slovenia,1781.47381,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,SI,Slovenia,1798.734802,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,SI,Slovenia,1797.927938,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,SI,Slovenia,1858.885665,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,SI,Slovenia,1781.552348,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,SI,Slovenia,1790.482908,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,SI,Slovenia,1758.289206,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,SI,Slovenia,1740.606767,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,SI,Slovenia,1724.5823,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,SI,Slovenia,1709.193606,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,SI,Slovenia,1756.00727,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,SI,Slovenia,1799.502089,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,SI,Slovenia,1822.166366,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,SI,Slovenia,1787.842413,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,SI,Slovenia,1787.575306,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,SI,Slovenia,1807.850421,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,SI,Slovenia,1812.994331,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,SI,Slovenia,1813.470478,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,SE,Sweden,7646.313168,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,SE,Sweden,7324.832697,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,SE,Sweden,7285.522337,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,SE,Sweden,7605.774796,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,SE,Sweden,7741.815765,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,SE,Sweden,7551.73668,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,SE,Sweden,7624.430992,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,SE,Sweden,7662.134817,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,SE,Sweden,7549.374246,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,SE,Sweden,7342.815215,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,SE,Sweden,7319.958668,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,SE,Sweden,7263.395941,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,SE,Sweden,7166.864504,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,SE,Sweden,7050.675694,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,SE,Sweden,7076.420987,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,SE,Sweden,6929.978065,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,SE,Sweden,6796.852696,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,SE,Sweden,6795.435071,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,SE,Sweden,6880.420376,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,SE,Sweden,6647.307357,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,SE,Sweden,6736.427422,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,SE,Sweden,6707.488578,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,SE,Sweden,6613.475573,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,SE,Sweden,6672.864983,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,SE,Sweden,6753.666569,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,SE,Sweden,6767.495124,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,SE,Sweden,6739.91127,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,SE,Sweden,6856.92981,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,SE,Sweden,6672.217617,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,SE,Sweden,6698.809039,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,SE,Sweden,6796.746036,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,SE,Sweden,6673.594309,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,RO,Romania,34651.38178,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,RO,Romania,28962.30568,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,RO,Romania,25443.21061,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,RO,Romania,25435.79035,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,RO,Romania,24496.75346,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,RO,Romania,24591.56078,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,RO,Romania,24023.32054,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,RO,Romania,22588.98313,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,RO,Romania,21942.76535,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,RO,Romania,20847.568,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,RO,Romania,19794.874,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,RO,Romania,19835.42394,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,RO,Romania,20284.99751,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,RO,Romania,20777.47179,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,RO,Romania,20632.24772,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,RO,Romania,21110.51886,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,RO,Romania,21366.7274,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,RO,Romania,21134.83948,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,RO,Romania,20694.16582,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,RO,Romania,20078.88203,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,RO,Romania,17943.59478,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,RO,Romania,18159.60157,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,RO,Romania,17933.3127,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,RO,Romania,18508.49243,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,RO,Romania,18688.56897,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,RO,Romania,18925.01523,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,RO,Romania,18829.94207,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,RO,Romania,18964.97425,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,RO,Romania,19525.41845,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,RO,Romania,19243.10109,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,RO,Romania,19010.69236,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,RO,Romania,19169.30397,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,PT,Portugal,7339.172771,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,PT,Portugal,7368.83076,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,PT,Portugal,7253.468123,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,PT,Portugal,7195.529504,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,PT,Portugal,7222.48913,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,PT,Portugal,7277.510942,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,PT,Portugal,7466.801194,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,PT,Portugal,7494.201724,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,PT,Portugal,7454.143544,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,PT,Portugal,7584.251419,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,PT,Portugal,7698.95188,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,PT,Portugal,7449.325321,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,PT,Portugal,7326.248923,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,PT,Portugal,7047.524813,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,PT,Portugal,7253.506605,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,PT,Portugal,6929.264676,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,PT,Portugal,6878.922966,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,PT,Portugal,6994.935386,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,PT,Portugal,6944.269475,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,PT,Portugal,6880.592048,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,PT,Portugal,6814.25553,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,PT,Portugal,6768.834859,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,PT,Portugal,6793.961289,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,PT,Portugal,6757.299323,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,PT,Portugal,6890.137837,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,PT,Portugal,6911.357199,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,PT,Portugal,6954.205953,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,PT,Portugal,7067.601174,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,PT,Portugal,7148.643377,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,PT,Portugal,7248.61541,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,PT,Portugal,7271.889098,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,PT,Portugal,7258.18096,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,PL,Poland,49291.34268,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,PL,Poland,42514.50864,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,PL,Poland,38641.1671,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,PL,Poland,37212.7173,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,PL,Poland,36922.29391,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,PL,Poland,36724.7596,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,PL,Poland,35755.93977,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,PL,Poland,36562.4292,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,PL,Poland,36457.19476,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,PL,Poland,34988.93566,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,PL,Poland,33205.86387,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,PL,Poland,32615.27865,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,PL,Poland,31664.65512,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,PL,Poland,31190.86125,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,PL,Poland,31251.47251,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,PL,Poland,31659.42338,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,PL,Poland,32148.72735,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,PL,Poland,32843.79359,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,PL,Poland,32939.51571,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,PL,Poland,32256.87572,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,PL,Poland,31659.65749,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,PL,Poland,31989.593,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,PL,Poland,31826.63087,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,PL,Poland,32464.68191,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,PL,Poland,32364.06501,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,PL,Poland,31705.4768,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,PL,Poland,32067.10222,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,PL,Poland,33359.58588,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,PL,Poland,33688.3678,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,PL,Poland,32595.15629,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,PL,Poland,34051.66515,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,PL,Poland,34035.26021,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,NL,Netherlands,25162.31906,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,NL,Netherlands,25499.47342,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,NL,Netherlands,25515.81073,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,NL,Netherlands,25127.5924,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,NL,Netherlands,24200.14491,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,NL,Netherlands,24194.72087,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,NL,Netherlands,23824.57722,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,NL,Netherlands,22975.43836,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,NL,Netherlands,22280.34346,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,NL,Netherlands,21805.42267,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,NL,Netherlands,20627.75947,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,NL,Netherlands,20244.32005,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,NL,Netherlands,18994.45075,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,NL,Netherlands,18638.15356,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,NL,Netherlands,18412.14529,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,NL,Netherlands,18253.9101,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,NL,Netherlands,18387.82316,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,NL,Netherlands,18204.26194,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,NL,Netherlands,18258.72565,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,NL,Netherlands,18208.38786,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,NL,Netherlands,18221.55497,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,NL,Netherlands,17898.83778,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,NL,Netherlands,17704.18035,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,NL,Netherlands,18204.71022,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,NL,Netherlands,18370.12845,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,NL,Netherlands,18998.12338,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,NL,Netherlands,19262.56715,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,NL,Netherlands,19270.67319,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,NL,Netherlands,18671.48212,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,NL,Netherlands,18446.61654,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,NL,Netherlands,18370.39428,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,NL,Netherlands,17974.70488,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,MT,Malta,108.7698066,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,MT,Malta,111.5046791,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,MT,Malta,114.056801,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,MT,Malta,113.9684999,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,MT,Malta,111.1539746,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,MT,Malta,107.6663341,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,MT,Malta,111.1037173,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,MT,Malta,112.9269151,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,MT,Malta,107.6820414,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,MT,Malta,111.1206173,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,MT,Malta,105.2292422,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,MT,Malta,101.7021946,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,MT,Malta,100.8330711,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,MT,Malta,97.40131638,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,MT,Malta,101.0043926,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,MT,Malta,91.46453461,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,MT,Malta,90.04801776,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,MT,Malta,91.49058331,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,MT,Malta,88.94741439,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,MT,Malta,86.20491631,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,MT,Malta,85.05056112,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,MT,Malta,82.53289802,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,MT,Malta,84.22586301,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,MT,Malta,84.47142672,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,MT,Malta,84.49690169,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,MT,Malta,84.66001823,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,MT,Malta,85.57391,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,MT,Malta,84.79468196,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,MT,Malta,83.56655084,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,MT,Malta,86.41265249,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,MT,Malta,89.2744769,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,MT,Malta,87.70877281,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,LV,Latvia,5030.477709,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,LV,Latvia,4646.508799,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,LV,Latvia,3589.334223,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,LV,Latvia,2476.853385,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,LV,Latvia,2182.808048,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,LV,Latvia,2030.453799,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,LV,Latvia,1983.621867,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,LV,Latvia,1962.860501,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,LV,Latvia,1854.2363,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,LV,Latvia,1656.827838,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,LV,Latvia,1680.554306,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,LV,Latvia,1789.521489,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,LV,Latvia,1764.474399,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,LV,Latvia,1803.907676,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,LV,Latvia,1728.833944,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,LV,Latvia,1790.83674,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,LV,Latvia,1792.100909,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,LV,Latvia,1874.371352,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,LV,Latvia,1835.495637,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,LV,Latvia,1854.509069,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,LV,Latvia,1870.066386,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,LV,Latvia,1883.725157,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,LV,Latvia,1962.721052,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,LV,Latvia,2025.70466,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,LV,Latvia,2105.338744,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,LV,Latvia,2151.465495,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,LV,Latvia,2163.266327,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,LV,Latvia,2176.661665,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,LV,Latvia,2096.411737,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,LV,Latvia,2198.356846,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,LV,Latvia,2250.414362,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,LV,Latvia,2252.956006,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,LU,Luxembourg,702.0708434,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,LU,Luxembourg,703.5221447,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,LU,Luxembourg,693.5831031,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,LU,Luxembourg,697.3480445,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,LU,Luxembourg,680.2263046,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,LU,Luxembourg,698.6311353,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,LU,Luxembourg,703.6326384,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,LU,Luxembourg,695.2708884,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,LU,Luxembourg,689.887199,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,LU,Luxembourg,690.9043842,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,LU,Luxembourg,684.7212181,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,LU,Luxembourg,672.7814332,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,LU,Luxembourg,656.9476429,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,LU,Luxembourg,629.1666494,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,LU,Luxembourg,632.6193998,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,LU,Luxembourg,629.9179367,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,LU,Luxembourg,621.8990838,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,LU,Luxembourg,633.9064059,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,LU,Luxembourg,653.1609923,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,LU,Luxembourg,654.0237518,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,LU,Luxembourg,662.0931002,All greenhouse gases - (CO2 equivalent),3 - Agriculture
